XVIII,Луна,"Эта дверь открывается в недра души, и вход в неё может принести замечательный или тревожащий опыт. Всё, что проявлено, находится в непрерывном изменении, реальность гармонично соединяется с воспоминаниями и иллюзиями."
XIX,Солнце,"Все тени уничтожены, все сомнения стёрты. Встречайте танец жизни с открытым сердцем и положительными эмоциями. Важные цели будут осознаны, исчезнет страх перед судьбоносными решениями."
XX,Страшный Суд,"Настало время пробуждения, вдыхающее новую силу в каждый аспект Вашей жизни. Не бойтесь неожиданностей и примите любые изменения, независимо от того, какое удивление это может вызвать. Откажитесь от старых догм и стереотипов и следуйте за светом. Возможна дальняя поездка."
XXI,Мир,"Вы нашли ключ, который искали: цикл закончился, и начинается другой. Текущие планы принесут успех. Радуйтесь стабильности, миру и всем дающимся Вам дарам."
,Туз Пентаклей,"Разнообразные ключи материального счастья. Благосостояние, определяемое деньгами и собственностью."
,Двойка Пентаклей,"Новое и неизвестное дело, оказавшееся достаточно успешным, особенно если не пренебрегать помощью сильного союзника."
,Тройка Пентаклей,"Разработка и реализация планов. Возможность решить проблемы и найти несколько выходов."
,Четвёрка Пентаклей,"Ярость и драка на любом уровне, желание доказать свою правоты любым способом — всё это перебор и приведёт к подлости и опустошению."
,Пятёрка Пентаклей,"Мучительное ожидание разрешения проблемы. Материальные заботы и беспокойство."
,Шестёрка Пентаклей,"Неожиданное приумножение благосостояния и подарки. Щедрый человек, готовый помогать другим."
,Семёрка Пентаклей,"Постоянная излишняя требовательность к себе, что приведёт к нервотрёпке и желанию всё бросить."
,Восьмёрка Пентаклей,"Мелочность и тяга к монотонной кропотливой работе. Тенденция следовать движению толпы и стадные чувства."
,Девятка Пентаклей,"Удовлетворённость материальным положением. Творческий потенциал, регулируемый некоторой долей благоразумия."
,Десятка Пентаклей,"Материальная безопасность, дающая семейное счастье и устойчивость в отношениях."
,Паж Пентаклей,"Способный и вдумчивый человек, учёный или общественный деятель."
,Рыцарь Пентаклей,"Ответственный и великодушный человек. Тщательно продуманные планы."
,Королева Пентаклей,"Очаровательная и честолюбивая женщина. Необходимость прислушиваться к чужому мнению."
,Король Пентаклей,"Энергичный, терпеливый и практический человек. Склонность к пустым фантазиям."
,Туз Кубков,"Всплеск эмоций. Любовь к другому человеку или эмоциональный подход к чему либо."
,Двойка Кубков,"Сильная привязанность возлюбленного или искреннего друга."
,Тройка Кубков,"Великодушие и доброжелательность. Внутреннее равновесие и хорошее здоровье."
,Четвёрка Кубков,"Успокоенность и удовлетворённость могут привести к застою и инертности."
,Пятёрка Кубков,"Боль по чему-то потерянному, сожаление. Перестаньте оглядываться на прошлое и откройтесь к будущему."
,Шестёрка Кубков,"Благосостояние. Смотрите на жизнь с простотой и любознательностью, как ребёнок."
,Семёрка Кубков,"Из за бессознательного страха перед реальностью существует тенденция к поиску комфортности в иллюзорном мире."
,Восьмёрка Кубков,"Отброшенные идеи. В поиске чего-то возвышенного можно потерять друзей или стабильное положение."
,Девятка Кубков,"Признание достоинств, дающих стабильное состояние. Богатство и осознанные желания."
,Десятка Кубков,"Счастье в чувствах, вознаграждённая любовь, которая приносит плоды."
,Паж Кубков,"Чувствительный и мечтательный человек, временами немного поверхностный. Будущие новости, относящиеся к сфере чувств."
,Рыцарь Кубков,"Импульсивный и романтично настроенный человек, утопист и фантазёр."
,Королева Кубков,"Щедрая женщина, нежная, обладающая большим чувством жертвенности. Душевное богатство."
,Король Кубков,"Образованный и творческий человек с сильно развитой интуицией и чувством юмора."
,Туз Жезлов,"Творческий потенциал. Вдохновение, дающее дополнительную энергию для достижения будущих целей."
,Двойка Жезлов,"Любознательность, ведущая к интеллектуальному развитию и открытиям. Реализация собственных идей."
,Тройка Жезлов,"Умение обнаружить альтернативный путь для проведения в жизнь новых идей. Сотрудничество."
,Четвёрка Жезлов,"Удовлетворённость от того, что было заработано добросовестным трудом. Хорошая организация, заслуживающие доверия друзья, привязанность сотрудников."
,Пятёрка Жезлов,"Амбициозность, хладнокровие, сметающие все препятствия на пути, даже дружбу."
,Шестёрка Жезлов,"Заслуженный успех и продвижение по карьерной лестнице или повышение социального статуса. Признательность."
,Семёрка Жезлов,"Интерес к «закрытым дверям» и тайнам мира. Большая храбрость, воля и физическая сила."
,Восьмёрка Жезлов,"Интуиция, помогающая в принятии трудного решения. Прозорливость. Яснослышание."
,Девятка Жезлов,"Переход от окончания проекта к началу удачного предприятия, окончательный расчёт, заключительный этап, благодарность работодателей за сделанное."
,Десятка Жезлов,"Растрата энергии на поиск бесполезных ценностей или из-за давления возложенной тяжёлой ответственности."
,Паж Жезлов,"Юноша, полный энтузиазма. Поклонник."
,Рыцарь Жезлов,"Страстный и порывистый человек. Нетерпеливость и неумение сдерживаться."
,Королева Жезлов,"Чувственная женщина с очень сильным характером. Творческая и чувствительная натура."
,Король Жезлов,"Властный человек с железной волей. Временами чрезмерная серьёзность."
,Туз Мечей,"Создание новых идей. Воображение. Идеализм, который порой грозит перерождением в эгоизм."
,Двойка Мечей,"Потребность в защите влиятельных друзей; удивление от неожиданной, но позитивной ситуации."
,Тройка Мечей,"Сомнения и пессимизм, которые причиняют страдание, но после периода замешательства будут преодолены. Возобновление."
,Четвёрка Мечей,"Самокопание и эгоцентричность, которые могут привести к безразличию или эмоциональной пустыне."
,Пятёрка Мечей,"Уныние и отсутствие веры в свои силы при столкновении с проблемой, которые мешают её преодолеть."
,Шестёрка Мечей,"Возможность изменить каждодневную рутину жизни, отправившись в путешествие либо любым другим способом. Хобби и романтические мысли."
,Семёрка Мечей,"Устремлённость и настойчивый поиск, толчок к обнаружению новых решений любых проблем."
,Восьмёрка Мечей,"Страх и нерешительность, которые приводят к изоляции и опустошению. Давление общества и государственной власти."
,Девятка Мечей,"Одиночество как основная причина пессимизма, усталости, бездействия или жизни по инерции."
,Десятка Мечей,"Заботы и нерешённые проблемы, приводящие к поиску убежища в фантазиях и нереальном мире мечты. Ревность."
,Паж Мечей,"Интеллектуал и критикан, который может быть также хитёр и мстителен."
,Рыцарь Мечей,"Храбрый и неуловимый для врагов человек. Необходимость охранять плоды своего труда и интеллектуальной деятельности."
,Королева Мечей,"Энергичная и независимая женщина, чья индивидуальность может противопоставить её другим."
,Король Мечей,"Высокообразованный человек с сильной тенденцией управлять другими. Узкий и безразличный взгляд на мир."
